交易日	合约代码	交易所代码	合约在交易所的代码	最新价	上次结算价	昨收盘	昨持仓量	今开盘	最高价	最低价	数量	成交金额	持仓量	今收盘	本次结算价	涨停板价	跌停板价	昨虚实度	今虚实度	最后修改时间	最后修改毫秒	业务日期
20170522	CF707	CZCE	CF707	15385	15495	15460	1718	15460	15600	15385	166	2563870	1672	15385	15445	16270	14720	0	0	0.624988426	0	20170522
20170522	CF709	CZCE	CF709	15680	15845	15810	204014	15780	15995	15675	242884	3848496980	213650	15680	15845	16640	15050	0	0	0.624988426	0	20170522
20170522	CF711	CZCE	CF711	15520	15685	15670	1614	15600	15775	15520	82	1282890	1606	15520	15645	16470	14900	0	0	0.624988426	0	20170522
20170522	CF801	CZCE	CF801	15805	15955	15945	55298	15920	16055	15795	22088	352303600	57058	15805	15950	16755	15155	0	0	0.624988426	0	20170522
20170522	CF803	CZCE	CF803	15945	15945	15945	26	0	0	0	0	0	26	0	15845	16745	15145	0	0	0.625	0	20170522
20170522	CF805	CZCE	CF805	15955	16085	16050	5002	16035	16140	15955	960	15427200	5412	15955	16070	16890	15280	0	0	0.624837963	0	20170522
20170522	FG706	CZCE	FG706	1376	1338	1342	8	1345	1376	1327	18	24372	6	1376	1354	1405	1271	0	0	0.624849537	0	20170522
20170522	FG707	CZCE	FG707	1301	1301	1301	4	0	0	0	0	0	4	0	1301	1367	1235	0	0	0.625	0	20170522
20170522	FG708	CZCE	FG708	1293	1300	1293	26	0	0	0	0	0	26	0	1316	1365	1235	0	0	0.625	0	20170522
20170522	FG709	CZCE	FG709	1338	1310	1341	417212	1349	1359	1335	486822	656722878	343372	1338	1349	1402	1218	0	0	0.624988426	0	20170522
20170522	FG710	CZCE	FG710	1330	1313	1321	10	1339	1339	1326	8	10664	14	1330	1333	1379	1247	0	0	0.624872685	0	20170522
20170522	FG711	CZCE	FG711	1277	1244	1277	40	0	0	0	0	0	40	0	1263	1307	1181	0	0	0.625	0	20170522
20170522	FG712	CZCE	FG712	1250	1252	1250	16	0	0	0	0	0	16	0	1271	1315	1189	0	0	0.625	0	20170522
20170522	FG801	CZCE	FG801	1266	1245	1271	19476	1271	1280	1263	12250	15569750	17570	1266	1271	1308	1182	0	0	0.624976852	0	20170522
20170522	FG802	CZCE	FG802	1267	1259	1259	4	1268	1276	1267	10	12710	8	1267	1271	1322	1196	0	0	0.624976852	0	20170522
20170522	FG803	CZCE	FG803	1237	1243	1237	2	0	0	0	0	0	2	0	1243	1306	1180	0	0	0.625	0	20170522
20170522	FG804	CZCE	FG804	1225	1225	1225	2	0	0	0	0	0	2	0	1225	1287	1163	0	0	0.625	0	20170522
20170522	FG805	CZCE	FG805	1214	1207	1220	1540	1222	1230	1208	566	691086	1596	1214	1221	1268	1146	0	0	0.624872685	0	20170522
20170522	IC1706	CFFEX	IC1706	5828.6	5916.4	5913.6	25906	5918.8	5953.4	5804	13770	16189217240	27115	5828.6	5828.8	6508	5324.8	0	0	0.643159722	400	20170522
20170522	IC1707	CFFEX	IC1707	5779	5916.4	5916.4	0	5865	5905.2	5758.6	295	344782840	283	5779	5782	6508	5324.8	0	0	0.643159722	400	20170522
20170522	IC1709	CFFEX	IC1709	5702	5808.4	5807.2	6290	5813.4	5847.6	5678.8	1230	1413908560	6203	5702	5706.4	6389.2	5227.6	0	0	0.643159722	400	20170522
20170522	IC1712	CFFEX	IC1712	5608.2	5717.6	5718.8	1723	5714.8	5750.2	5592	205	231865840	1778	5608.2	5615.4	6289.2	5146	0	0	0.643159722	400	20170522
20170522	IF1706	CFFEX	IF1706	3382.2	3379.4	3381.8	32944	3380	3405.6	3371.2	15003	15242991540	34204	3382.2	3379.2	3717.2	3041.6	0	0	0.643159722	400	20170522
20170522	IF1707	CFFEX	IF1707	3350	3379.4	3379.4	0	3349.2	3370.4	3334.4	1383	1390333260	1372	3350	3344.2	3717.2	3041.6	0	0	0.643159722	400	20170522
20170522	IF1709	CFFEX	IF1709	3313.2	3316.8	3317	6525	3315.2	3338.6	3303.8	871	867813660	6560	3313.2	3310.8	3648.4	2985.2	0	0	0.643159722	400	20170522
20170522	IF1712	CFFEX	IF1712	3279.4	3286.8	3288.2	1282	3283.8	3303.8	3275	118	116382060	1287	3279.4	3280.8	3615.4	2958.2	0	0	0.643159722	400	20170522
20170522	IH1706	CFFEX	IH1706	2365.8	2348.2	2348.4	19593	2347.2	2372.6	2346.4	6295	4459755000	19957	2365.8	2361.2	2583	2113.4	0	0	0.643159722	400	20170522
20170522	IH1707	CFFEX	IH1707	2333.6	2348.2	2348.2	0	2336.6	2341.4	2316.2	1118	781783980	1102	2333.6	2329.4	2583	2113.4	0	0	0.643159722	400	20170522
20170522	IH1709	CFFEX	IH1709	2308.2	2297.6	2298.4	6074	2293.2	2316.4	2293.2	668	462178680	5994	2308.2	2303.8	2527.2	2068	0	0	0.643159722	400	20170522
20170522	IH1712	CFFEX	IH1712	2290.4	2281.8	2279.8	936	2282	2298.4	2280.4	105	72112740	952	2290.4	2288	2509.8	2053.8	0	0	0.643159722	400	20170522
20170522	JR707	CZCE	JR707	3335	3335	3335	0	0	0	0	0	0	0	0	3335	3602	3068	0	0	0.625	0	20170522
20170522	JR709	CZCE	JR709	3257	3257	3257	0	0	0	0	0	0	0	0	3257	3388	3126	0	0	0.625	0	20170522
20170522	JR711	CZCE	JR711	3211	3211	3211	0	0	0	0	0	0	0	0	3211	3340	3082	0	0	0.625	0	20170522
20170522	JR801	CZCE	JR801	3196	3196	3196	0	0	0	0	0	0	0	0	3196	3324	3068	0	0	0.625	0	20170522
20170522	JR803	CZCE	JR803	3192	3192	3192	0	0	0	0	0	0	0	0	3192	3448	2936	0	0	0.625	0	20170522
20170522	JR805	CZCE	JR805	3218	3218	3218	0	0	0	0	0	0	0	0	3218	3476	2960	0	0	0.625	0	20170522
20170522	LR707	CZCE	LR707	2837	2837	2837	0	0	0	0	0	0	0	0	2837	3064	2610	0	0	0.625	0	20170522
20170522	LR709	CZCE	LR709	2905	2905	2905	0	0	0	0	0	0	0	0	2905	3022	2788	0	0	0.625	0	20170522
20170522	LR711	CZCE	LR711	2872	2872	2872	0	0	0	0	0	0	0	0	2872	2987	2757	0	0	0.625	0	20170522
20170522	LR801	CZCE	LR801	2913	2913	2913	0	0	0	0	0	0	0	0	2913	3147	2679	0	0	0.625	0	20170522
20170522	LR803	CZCE	LR803	2913	2913	2913	0	0	0	0	0	0	0	0	2913	3147	2679	0	0	0.625	0	20170522
20170522	LR805	CZCE	LR805	2913	2913	2913	0	0	0	0	0	0	0	0	2913	3147	2679	0	0	0.625	0	20170522
20170522	MA706	CZCE	MA706	2528	2409	2409	2	2528	2528	2528	2	5056	2	2528	2528	2530	2288	0	0	0.624895833	0	20170522
20170522	MA707	CZCE	MA707	2369	2369	2369	0	0	0	0	0	0	0	0	2486	2488	2250	0	0	0.625	0	20170522
20170522	MA708	CZCE	MA708	2420	2398	2420	12	0	0	0	0	0	12	0	2398	2518	2278	0	0	0.625	0	20170522
20170522	MA709	CZCE	MA709	2399	2347	2402	666622	2408	2445	2382	1141674	2756001036	603980	2399	2414	2465	2229	0	0	0.624988426	0	20170522
20170522	MA710	CZCE	MA710	2415	2349	2395	20	2430	2430	2410	14	33894	16	2415	2421	2467	2231	0	0	0.624988426	0	20170522
20170522	MA711	CZCE	MA711	2396	2399	2396	8	0	0	0	0	0	8	0	2399	2519	2279	0	0	0.625	0	20170522
20170522	MA712	CZCE	MA712	2450	2402	2402	4	2450	2450	2450	2	4900	6	2450	2450	2523	2281	0	0	0.624988426	0	20170522
20170522	MA801	CZCE	MA801	2418	2369	2413	50892	2421	2452	2399	28998	70349148	42838	2418	2426	2488	2250	0	0	0.624988426	0	20170522
20170522	MA802	CZCE	MA802	2419	2393	2393	0	2433	2433	2392	8	19352	4	2419	2419	2513	2273	0	0	0.62494213	0	20170522
20170522	MA803	CZCE	MA803	2407	2407	2407	12	0	0	0	0	0	12	0	2410	2528	2286	0	0	0.625	0	20170522
20170522	MA804	CZCE	MA804	2344	2344	2344	2	0	0	0	0	0	2	0	2383	2462	2226	0	0	0.625	0	20170522
20170522	MA805	CZCE	MA805	2424	2360	2399	658	2415	2438	2396	372	900984	716	2424	2422	2478	2242	0	0	0.62494213	0	20170522
20170522	OI707	CZCE	OI707	6440	6356	6356	34	6440	6440	6440	4	25760	38	6440	6440	6674	6038	0	0	0.624988426	0	20170522
20170522	OI709	CZCE	OI709	6484	6422	6410	283496	6424	6504	6420	162780	1054488840	281056	6484	6478	6744	6100	0	0	0.624988426	0	20170522
20170522	OI711	CZCE	OI711	6618	6618	6618	2	0	0	0	0	0	2	0	6618	6950	6286	0	0	0.625	0	20170522
20170522	OI801	CZCE	OI801	6656	6596	6582	140480	6596	6676	6596	26874	178712100	136644	6656	6650	6926	6266	0	0	0.624988426	0	20170522
20170522	OI803	CZCE	OI803	6636	6636	6636	0	0	0	0	0	0	0	0	6636	6968	6304	0	0	0.625	0	20170522
20170522	OI805	CZCE	OI805	6794	6740	6726	516	6750	6806	6750	112	760480	534	6794	6790	7078	6402	0	0	0.624953704	0	20170522
20170522	PM707	CZCE	PM707	2378	2378	2378	0	0	0	0	0	0	0	0	2417	2474	2282	0	0	0.625	0	20170522
20170522	PM709	CZCE	PM709	2457	2417	2417	6	2457	2457	2457	2	4914	6	2457	2457	2514	2320	0	0	0.622939815	0	20170522
